Soort,nDomeinen,nBehOve,nBosdec,nEigend,nHuur,nProLan,nErfpac,inPATDAT,inAntKem,inDemZKe,inGroGor,inKusWes,inLtHKem,inTaxand,inVArSch,inBraWou,inHKeVoe,inZanVla,inNA,ofPATDAT,ofAntKem,ofDemZKe,ofGroGor,ofKusWes,ofLtHKem,ofTaxand,ofVArSch,ofBraWou,ofHKeVoe,ofZanVla,ofNA
heilige ibis,27,10,8,7,1,1,0,0.301315,0.123984,0.146509,0.008615,0.009268,0.000510,0.003370,0.009058,0,0,0,0,0.002403,0.009555,0.012592,0.001616,0.000927,0.000021,0.000199,0.001545,0,0,0,0
nijlgans,1179,135,555,439,17,19,14,0.103983,0.021193,0.011727,0.011759,0.012898,0.004775,0.013956,0.007494,0.004873,0.005059,0.010185,0.000009,0.126710,0.249513,0.153974,0.337026,0.197121,0.030169,0.125640,0.195204,0.071910,0.041049,0.170477,0.011883
rimpelroos,238,38,109,82,1,4,4,0.124245,0.007338,0.002320,0.006045,0.086567,0.002405,0.008238,0.002681,0.002173,0.001812,0.004666,0,0.010158,0.005797,0.002044,0.011624,0.088767,0.001019,0.004976,0.004685,0.002151,0.000987,0.005240,0
Amerikaanse vogelkers,1165,106,668,348,17,16,10,0.227419,0.026591,0.038315,0.010785,0.019569,0.026202,0.025351,0.006957,0.015511,0.036052,0.021504,0.000027,0.099694,0.112627,0.180980,0.111200,0.107593,0.059553,0.082103,0.065195,0.082342,0.105238,0.129488,0.013197
reuzenberenklauw,362,36,170,140,2,6,8,0.091371,0.012702,0.005573,0.015564,0.009719,0.006382,0.004269,0.017623,0.006851,0.004570,0.008083,0.000036,0.009945,0.013357,0.006535,0.039845,0.013267,0.003601,0.003432,0.041002,0.009029,0.003312,0.012084,0.004487
Canadese gans,933,122,408,361,16,15,11,0.140958,0.034564,0.012891,0.012525,0.020831,0.005646,0.021666,0.009761,0.006042,0.003446,0.013530,0.000013,0.116511,0.276037,0.114813,0.243512,0.215954,0.024198,0.132308,0.172459,0.060477,0.018969,0.153614,0.011737
verspreidbladige waterpest,7,1,1,4,0,1,0,0.153328,0,0.006201,0.003946,0.089247,0,0,0.053934,0,0,0,0,0.000106,0,0.000046,0.000064,0.000774,0,0,0.000798,0,0,0,0
zonnebaars,83,8,33,37,2,2,1,0.218882,0.029314,0.040494,0.015699,0,0.016498,0.083925,0.003616,0.003250,0.019275,0.006811,0,0.002543,0.003291,0.005069,0.004290,0,0.000994,0.007203,0.000898,0.000457,0.001491,0.001087,0
rosse stekelstaart,25,10,5,8,1,1,0,0.338064,0.162795,0.019635,0.003724,0.066071,0.007639,0.046436,0.031763,0,0,0,0,0.001539,0.007159,0.000963,0.000399,0.003772,0.000180,0.001562,0.003090,0,0,0,0
sneeuwbes,333,39,161,117,3,5,8,0.150006,0.023119,0.011063,0.024019,0.030784,0.006108,0.012080,0.009139,0.016434,0.006844,0.010416,0,0.009159,0.013638,0.007278,0.034493,0.023573,0.001934,0.005449,0.011927,0.012151,0.002782,0.008735,0
parelvederkruid,70,7,29,29,2,2,1,0.133440,0.024258,0.042174,0.014017,0.001133,0.017543,0.016326,0.006454,0.000211,0.001046,0.010277,0,0.002001,0.003514,0.006813,0.004943,0.000213,0.001364,0.001808,0.002069,0.000038,0.000104,0.002116,0
late guldenroede,437,55,197,166,7,11,1,0.122675,0.013557,0.009882,0.017261,0.008737,0.012665,0.014018,0.012937,0.011206,0.012428,0.009985,0,0.014156,0.015115,0.012286,0.046849,0.012644,0.007577,0.011950,0.031911,0.015660,0.009550,0.015827,0
smalle waterpest,88,7,33,43,3,2,0,0.165348,0.024494,0.042856,0.006032,0.019634,0.010733,0.041770,0.004455,0.004612,0.003813,0.006890,0.000060,0.002919,0.004178,0.008152,0.002505,0.004347,0.000982,0.005448,0.001681,0.000986,0.000448,0.001671,0.001194
mahonie,301,30,167,92,5,6,1,0.130102,0.008101,0.006211,0.007251,0.071921,0.007611,0.006533,0.007502,0.003335,0.005629,0.006010,0,0.010379,0.006243,0.005338,0.013606,0.071959,0.003148,0.003850,0.012792,0.003221,0.002990,0.006585,0
grote waternavel,78,13,26,37,2,0,0,0.102589,0.002353,0.033612,0.014631,0.006140,0.001411,0.003261,0.025125,0.003000,0.003297,0.009636,0.000123,0.002794,0.000619,0.009863,0.009372,0.002097,0.000199,0.000656,0.014627,0.000989,0.000598,0.003605,0.003814
Chinese muntjak,33,5,9,15,0,3,1,0.224144,0.100683,0.009294,0.086320,0.002050,0.000133,0.012283,0.010902,0,0.001504,0.000973,0,0.001487,0.006456,0.000665,0.013474,0.000171,0.000005,0.000602,0.001547,0,0.000066,0.000089,0
Japans hoefblad,13,0,12,1,0,0,0,0.065840,0.010202,0,0.010130,0.019722,0,0,0.010580,0,0,0.015206,0,0.000226,0.000338,0,0.000818,0.000849,0,0,0.000776,0,0,0.000717,0
hemelboom,73,11,35,22,1,2,2,0.049121,0.009832,0.000775,0.009181,0.013791,0.005072,0.001012,0.003065,0.001087,0.001411,0.003895,0,0.001468,0.002840,0.000250,0.006455,0.005171,0.000786,0.000223,0.001959,0.000394,0.000281,0.001599,0
Amerikaanse hondsvis,22,3,5,8,5,1,0,0.306072,0,0.073569,0,0,0.023642,0.144275,0,0,0.064587,0,0,0.000528,0,0.001368,0,0,0.000211,0.001839,0,0,0.000742,0,0
Chinese wolhandkrab,121,16,51,49,2,1,2,0.131282,0.024108,0.023591,0.022913,0.012955,0,0.016467,0.012610,0.002451,0,0.014705,0,0.003081,0.005466,0.005965,0.012648,0.003813,0,0.002855,0.006326,0.000697,0,0.004740,0
invasieve duizendknopen,785,82,424,251,7,10,11,0.090384,0.017018,0.010649,0.014583,0.003374,0.010186,0.008942,0.007719,0.006631,0.005133,0.006085,0.000063,0.025560,0.046498,0.032449,0.097003,0.011968,0.014935,0.018682,0.046663,0.022708,0.009666,0.023635,0.020271
Siberische grondeekhoorn,9,3,3,3,0,0,0,0.818144,0,0.036962,0.009211,0.134136,0,0,0,0.636687,0.001147,0,0,0.002306,0,0.001123,0.000611,0.004742,0,0,0,0.021732,0.000022,0,0
boksdoorn,32,8,8,15,0,1,0,0.157966,0,0,0,0.150617,0,0,0.006203,0.001146,0,0,0,0.001777,0,0,0,0.021245,0,0,0.001491,0.000156,0,0,0
muskusrat,190,31,61,95,0,1,2,0.078480,0.000375,0.002513,0.008590,0.032613,0.001184,0.000142,0.016168,0.013933,0.002187,0.000718,0.000059,0.012976,0.000599,0.004477,0.033406,0.067630,0.001015,0.000173,0.057143,0.027896,0.002408,0.001631,0.011001
lettersierschildpad,233,33,111,77,4,4,4,0.226785,0.035128,0.017727,0.040281,0.016758,0.005267,0.014336,0.035573,0.030326,0.005642,0.025747,0,0.008148,0.012193,0.006862,0.034038,0.007551,0.000981,0.003805,0.027320,0.013194,0.001350,0.012706,0
smalle olijfwilg,37,17,9,10,1,0,0,0.151096,0.081267,0,0.003928,0.060589,0.000032,0,0,0,0.001459,0.003821,0,0.001328,0.006902,0,0.000812,0.006680,0.000001,0,0,0,0.000085,0.000461,0
watercrassula,144,35,47,53,4,4,1,0.377622,0.158431,0.017362,0.009406,0.029022,0.006408,0.100930,0.006605,0.005128,0.000506,0.043823,0,0.011026,0.044694,0.005462,0.006460,0.010628,0.000970,0.021772,0.004122,0.001813,0.000098,0.017576,0
Amerikaanse nerts,6,1,2,3,0,0,0,0.080498,0.011049,0,0,0.020244,0,0,0,0,0,0.049205,0,0.000092,0.000122,0,0,0.000289,0,0,0,0,0,0.000770,0
Canadese guldenroede,123,18,49,47,3,4,2,0.12405,0.011896,0.021402,0.010863,0.010012,0.013268,0.006739,0.003078,0.024218,0.011101,0.011472,0,0.00302,0.002798,0.005614,0.006220,0.003057,0.001675,0.001212,0.001602,0.007140,0.001800,0.003836,0
reuzenbalsemien,594,55,292,233,3,5,6,0.125228,0.016166,0.015477,0.023251,0.002323,0.006663,0.013920,0.012502,0.017197,0.006278,0.011450,0,0.028255,0.035241,0.037628,0.123398,0.006573,0.007795,0.023204,0.060302,0.046989,0.009433,0.035486,0
Chinese prachtslang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gevlekte Amerikaanse rivierkreeft,54,5,24,22,1,1,1,0.176792,0.018075,0.023872,0.028024,0.004420,0.002496,0.060730,0.020011,0.012588,0,0.006575,0,0.001391,0.001374,0.002023,0.005185,0.000436,0.000102,0.003529,0.003365,0.001199,0,0.000710,0
blauwbandgrondel,56,9,17,29,1,0,0,0.140112,0.020621,0.044228,0.033326,0,0,0.019441,0.004432,0.004816,0.003144,0.010104,0,0.001202,0.001710,0.004089,0.006726,0,0,0.001232,0.000813,0.000500,0.000180,0.001191,0
struikaster,34,10,7,15,0,1,1,0.197153,0,0,0,0.179295,0,0,0.004072,0,0,0.013786,0,0.001120,0,0,0,0.012776,0,0,0.000494,0,0,0.001076,0
zwartbekgrondel,25,6,10,7,1,0,1,0.053894,0.006817,0,0.009606,0.005106,0.010697,0.011384,0.007663,0,0.000685,0.001935,0,0.000349,0.000427,0,0.001464,0.000415,0.000359,0.000545,0.001062,0,0.000030,0.000172,0
Amerikaanse stierkikker,33,7,11,15,0,0,0,0.129060,0.007540,0.023133,0.015093,0,0,0.064378,0,0.018916,0,0,0,0.001183,0.000668,0.002285,0.003255,0,0,0.004360,0,0.002100,0,0,0
beverrat,18,3,4,10,1,0,0,0.082367,0.002741,0.024286,0,0,0.011466,0,0.003640,0.015199,0.022626,0.002409,0,0.000334,0.000107,0.001061,0,0,0.000241,0,0.000316,0.000746,0.000611,0.000134,0
moerashyacint,41,5,14,17,3,1,1,0.111884,0.003878,0.012415,0.009475,0.012309,0.010933,0.037579,0.014764,0.001268,0.008804,0.000459,0,0.000590,0.000198,0.000706,0.001176,0.000815,0.000299,0.001465,0.001665,0.000081,0.000309,0.000033,0
vijfbladige wingerd,31,4,13,12,0,2,0,0.158873,0.010883,0.012733,0.006588,0.016082,0.024895,0.015659,0.001126,0.044365,0.026542,0,0,0.000589,0.000390,0.000508,0.000574,0.000747,0.000478,0.000429,0.000089,0.001990,0.000655,0,0
