Soort,inHBTRL,inBE2100016,inBE2100024,inBE2100026,inBE2100040,inBE2200028,inBE2200031,inBE2200033,inBE2200038,inBE2300005,inBE2300006,inBE2300007,inBE2300044,inBE2400014,inBE2500002,inBE2100015,inBE2100017,inBE2100019,inBE2100020,inBE2100045,inBE2200029,inBE2200030,inBE2200032,inBE2200034,inBE2200035,inBE2200036,inBE2200037,inBE2200039,inBE2200041,inBE2200042,inBE2200043,inBE2400008,inBE2400009,inBE2400010,inBE2400011,inBE2400012,inBE2500001,inBE2500003,inBE2500004,ofHBTRL,ofBE2100016,ofBE2100024,ofBE2100026,ofBE2100040,ofBE2200028,ofBE2200031,ofBE2200033,ofBE2200038,ofBE2300005,ofBE2300006,ofBE2300007,ofBE2300044,ofBE2400014,ofBE2500002,ofBE2100015,ofBE2100017,ofBE2100019,ofBE2100020,ofBE2100045,ofBE2200029,ofBE2200030,ofBE2200032,ofBE2200034,ofBE2200035,ofBE2200036,ofBE2200037,ofBE2200039,ofBE2200041,ofBE2200042,ofBE2200043,ofBE2400008,ofBE2400009,ofBE2400010,ofBE2400011,ofBE2400012,ofBE2500001,ofBE2500003,ofBE2500004
heilige ibis,0.350187,0.004359,0.034861,0.00041,0.005715,0.008718,0.083980,0.004359,0.009772,0.000358,0.033329,0.030533,0.004359,0.114119,0.015316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002402,0.001372,0.006923,0.00006,0.000956,0.011723,0.016679,0.001245,0.002704,0.000076,0.002680,0.003964,0.001751,0.016741,0.005912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nijlgans,0.151983,0.001513,0.008609,0.008199,0.008667,0.001300,0.005308,0.003107,0.002630,0.005969,0.024650,0.003893,0.004815,0.013616,0.007559,0.003819,0.005838,0.002256,0.001006,0.002301,0.002738,0.001218,0.003854,0.002000,0.003094,0.000142,0.002944,0.000772,0.000767,0.001138,0.000250,0.000553,0.001391,0.001586,0.003993,0.002198,0.004399,0.000698,0.003191,0.159258,0.072760,0.261183,0.184740,0.221453,0.267142,0.161044,0.135520,0.111168,0.194530,0.302872,0.077221,0.295537,0.305154,0.445774,0.203629,0.122609,0.356018,0.163283,0.706241,0.036273,0.035575,0.214229,0.117735,0.091035,0.118362,0.415795,0.053386,0.133268,0.181644,0.047952,0.022037,0.083575,0.120812,0.108030,0.107774,0.127991,0.040896,0.114632
rimpelroos,0.184669,0,0.000418,0.006515,0.001303,0.000622,0.002077,0.000462,0.000884,0.001272,0.012780,0.002703,0.002315,0.002830,0.001110,0.000035,0.001792,0.000317,0.000225,0.002306,0.000425,0,0,0,0.000132,0.000001,0.001999,0,0,0.000087,0,0.000695,0.000056,0.000143,0.000447,0,0.138593,0.001087,0.001037,0.012983,0,0.000851,0.009849,0.002233,0.008577,0.004228,0.001351,0.002508,0.002780,0.010535,0.003597,0.009534,0.004255,0.004391,0.000124,0.002526,0.003359,0.002456,0.047497,0.000378,0,0,0,0.000260,0.000080,0.018940,0,0,0.000936,0,0.001859,0.000224,0.000732,0.000812,0,0.270551,0.004273,0.002499
Amerikaanse vogelkers,0.270061,0.005427,0.008602,0.016245,0.011384,0.004451,0.014170,0.00758,0.00195,0.011806,0.007757,0.003177,0.006058,0.022629,0.000019,0.008623,0.015602,0.001529,0.000766,0.002474,0.015021,0.007935,0.004007,0.005051,0.014365,0,0.000878,0.000378,0.001412,0.004496,0.002821,0.002777,0.001636,0.001318,0.012529,0.014591,0.020634,0.005022,0.004938,0.101804,0.093906,0.093887,0.131682,0.104641,0.328918,0.154662,0.11894,0.02965,0.138414,0.034288,0.022670,0.133763,0.182446,0.000394,0.165408,0.117869,0.086830,0.044760,0.273215,0.071598,0.083384,0.080129,0.106975,0.152030,0,0.044608,0.009400,0.088250,0.258210,0.194898,0.039810,0.035356,0.036123,0.121938,0.257376,0.215984,0.105866,0.063804
reuzenberenklauw,0.118046,0.001051,0.001448,0.004828,0.002453,0.000225,0.00034,0.000598,0.003458,0.006547,0.009333,0.013276,0.009371,0.006478,0.002224,0.000302,0.005254,0,0.000636,0.000992,0.010927,0.000470,0.001820,0.000903,0.000329,0.000264,0.002751,0.002011,0.000536,0.000880,0.002005,0.000583,0.001917,0.004102,0.004809,0.005532,0.005598,0.002037,0.001762,0.011048,0.004514,0.003924,0.009715,0.005598,0.004126,0.00092,0.002330,0.013057,0.019057,0.010243,0.023521,0.051372,0.012967,0.011713,0.001437,0.009854,0,0.009220,0.027186,0.012931,0.001227,0.009038,0.004746,0.000864,0.019598,0.034701,0.012419,0.008310,0.012542,0.034393,0.002074,0.010287,0.027904,0.011620,0.024226,0.014548,0.010663,0.005652
Canadese gans,0.208472,0.002921,0.011456,0.014045,0.012025,0.002038,0.007203,0.002798,0.003004,0.006094,0.041016,0.005235,0.004442,0.016353,0.014670,0.007209,0.008721,0.003406,0.001523,0.003251,0.003567,0.001233,0.004162,0.001264,0.002021,0.000075,0.003538,0.000334,0.000926,0.000786,0.000263,0.000727,0.002029,0.001351,0.004404,0.001747,0.007767,0.000676,0.004191,0.148179,0.095310,0.235755,0.214661,0.208423,0.283913,0.148233,0.082791,0.086134,0.134711,0.341832,0.070445,0.184944,0.248603,0.586798,0.260737,0.124224,0.364602,0.167700,0.676969,0.032058,0.024423,0.156923,0.050492,0.040336,0.042527,0.338918,0.015643,0.109085,0.085067,0.034289,0.019665,0.082683,0.069792,0.080820,0.058105,0.153289,0.026871,0.102115
verspreidbladige waterpest,0.153084,0,0,0,0,0,0,0,0,0,0,0,0.053239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099845,0,0,0.000091,0,0,0,0,0,0,0,0,0,0,0,0.001855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001650,0,0
zonnebaars,0.403969,0.005986,0.048868,0.028425,0.090492,0.013950,0.034207,0.008736,0.001643,0,0.040983,0.000027,0,0.044181,0,0,0.020050,0,0.002184,0.014140,0.005083,0.006281,0.014338,0.002993,0,0,0,0,0,0.002662,0.002953,0,0,0.012795,0.002993,0,0,0,0,0.004036,0.002745,0.014135,0.006106,0.022045,0.027321,0.009895,0.003633,0.000662,0,0.004801,0.000005,0,0.009440,0,0,0.004014,0,0.003379,0.041381,0.000642,0.001749,0.007599,0.001680,0,0,0,0,0,0.004051,0.005408,0,0,0.009290,0.000772,0,0,0,0
rosse stekelstaart,0.186072,0,0,0,0,0,0.020546,0.015278,0,0.000431,0.033667,0,0,0,0.021910,0.061571,0.022917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009752,0,0,0.000728,0,0,0,0,0,0.002328,0.002489,0,0.000052,0.001545,0,0,0,0.004826,0.012263,0.001798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001060,0,0
sneeuwbes,0.151579,0.001542,0.002069,0.008141,0.005496,0.001275,0.005922,0.000996,0.002334,0.005632,0.011992,0.009062,0.010330,0.007475,0.000132,0.000330,0.003636,0.000441,0,0.008443,0.003873,0.001541,0.001139,0.000561,0,0.000238,0.001544,0.002330,0,0.000243,0.000766,0.003844,0.000830,0.005137,0.003469,0.003393,0.035027,0.001542,0.000855,0.007958,0.003715,0.003145,0.009191,0.007036,0.013125,0.009002,0.002177,0.004944,0.009196,0.007383,0.009007,0.031766,0.008394,0.000390,0.000881,0.003826,0.003484,0,0.129857,0.002571,0.002255,0.003172,0.001656,0,0.009899,0.010929,0.008071,0,0.001940,0.007369,0.007676,0.002497,0.019603,0.004702,0.008335,0.051062,0.004527,0.001539
