Soort,inBWKHAB,in1130,in1330,in2310,in2330,in3130,in3140,in3150,in3160,in4010,in4030,in6230,in6410,in6430,in6510,in7140,in9120,in9130,in9160,in9190,in91E0,in1140,in1310,in1320,in2110,in2120,in2130,in2160,in2170,in2180,in2190,in3260,in3270,in6120,in6210,in7110,in7150,in7210,in7230,in9110,in9150,in5130,ofBWKHAB,of1130,of1330,of2310,of2330,of3130,of3140,of3150,of3160,of4010,of4030,of6230,of6410,of6430,of6510,of7140,of9120,of9130,of9160,of9190,of91E0,of1140,of1310,of1320,of2110,of2120,of2130,of2160,of2170,of2180,of2190,of3260,of3270,of6120,of6210,of7110,of7150,of7210,of7230,of9110,of9150,of5130
heilige ibis,0.132,0.002,0.001,0,0,0.065,0.02,0.016,0.003,0.003,0.001,0.002,0.001,0,0.004,0.001,0.005,0.001,0,0.001,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.005,0,0,0.037,0.019,0.023,0.012,0.001,0,0.002,0.007,0,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nijlgans,0.081,0.013,0.001,0.002,0.001,0.007,0.005,0.003,0.001,0.003,0.003,0.001,0,0.001,0.007,0.001,0.011,0.001,0.002,0.002,0.012,0.001,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.13,0.242,0.588,0.086,0.108,0.624,0.73,0.557,0.553,0.166,0.069,0.163,0.351,0.177,0.3,0.246,0.066,0.043,0.074,0.055,0.122,0.041,0.494,0.852,0.117,0.078,0.094,0.028,0.001,0.097,0.259,0.339,0.219,0.267,0.074,0.899,0.28,0.597,0.049,0.023,0.152,0
rimpelroos,0.155,0.015,0.002,0.001,0.001,0,0.001,0,0,0,0.001,0,0,0,0.007,0,0.006,0.001,0.001,0.001,0.003,0.009,0,0,0.001,0.026,0.028,0.034,0.002,0.008,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0.019,0.022,0.068,0.002,0.01,0.003,0.013,0.007,0,0.001,0.002,0.004,0,0.005,0.022,0.001,0.003,0.002,0.002,0.002,0.002,0.036,0.04,0.218,0.443,0.619,0.319,0.42,0.306,0.204,0.252,0.028,0.055,0,0,0,0,0,0,0,0,0
Amerikaanse vogelkers,0.155,0.002,0,0.005,0.003,0.004,0.001,0.001,0,0.003,0.009,0.002,0,0.001,0.005,0.001,0.056,0.003,0.008,0.013,0.02,0,0,0,0,0.001,0.004,0.007,0.001,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0.106,0.017,0.003,0.103,0.131,0.156,0.068,0.081,0.092,0.074,0.101,0.131,0.235,0.045,0.084,0.108,0.141,0.048,0.107,0.146,0.088,0.001,0.001,0,0.006,0.106,0.279,0.499,0.472,0.231,0.281,0.068,0,0,0.161,0.988,0.148,0.186,0.274,0.022,0,0.47
reuzenberenklauw,0.086,0.01,0,0,0,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0.002,0.009,0,0.014,0.004,0.004,0.002,0.029,0,0,0,0,0,0.002,0.001,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0,0.014,0.019,0.005,0.001,0.003,0.006,0.009,0.013,0,0.002,0.002,0.009,0.1,0.03,0.04,0.009,0.008,0.015,0.014,0.005,0.032,0,0.002,0,0,0.006,0.025,0.013,0.048,0.034,0.032,0.055,0.153,0,0.161,0,0.002,0,0,0.009,0,0
Canadese gans,0.111,0.022,0.002,0.003,0.002,0.011,0.007,0.004,0.002,0.005,0.003,0.001,0,0.002,0.008,0.001,0.011,0.001,0.002,0.003,0.015,0.001,0.001,0,0,0,0.001,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.122,0.284,0.707,0.082,0.124,0.622,0.719,0.582,0.66,0.213,0.058,0.146,0.242,0.165,0.221,0.315,0.044,0.024,0.041,0.053,0.106,0.048,0.726,0.698,0.097,0.086,0.114,0.045,0.007,0.068,0.316,0.384,0.419,0.009,0.043,0,0.277,0.643,0.182,0.002,0,0.123
verspreidbladige waterpest,0.127,0,0,0,0,0,0.027,0,0,0,0,0,0,0.004,0,0,0.007,0,0,0,0.012,0,0,0,0,0.008,0.035,0.024,0.001,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.004,0.003,0.001,0.001,0.004,0,0,0,0,0,0,0,0,0,0,0
zonnebaars,0.189,0.024,0,0.005,0.001,0.029,0.027,0.011,0.004,0.004,0.002,0.002,0.001,0.001,0.007,0.005,0.012,0.001,0.004,0.007,0.039,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.004,0.006,0,0.003,0.001,0.034,0.053,0.033,0.029,0.003,0.001,0.003,0.03,0.003,0.004,0.024,0.001,0,0.002,0.002,0.005,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0.007,0,0,0,0,0
muskusrat,0.04,0.001,0,0,0,0.001,0,0.002,0,0,0,0,0,0.003,0.013,0.001,0.003,0.001,0.001,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.001,0.036,0.002,0.001,0.017,0.009,0.052,0.001,0.001,0,0.001,0.029,0.052,0.068,0.025,0.002,0.004,0.003,0.001,0.018,0,0,0,0,0.001,0.004,0,0,0,0.004,0.014,0,0,0,0,0.005,0,0,0,0,0
rosse stekelstaart,0.254,0.008,0,0,0,0.017,0.134,0.012,0.055,0.004,0,0,0,0,0.015,0.001,0.001,0,0,0.002,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0.005,0.07,0.009,0.107,0.001,0,0,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mahonie,0.102,0.004,0,0.001,0.002,0.001,0.002,0.001,0,0,0.002,0,0,0.001,0.003,0,0.012,0.002,0.002,0.002,0.005,0,0,0,0,0.008,0.014,0.031,0.004,0.005,0.001,0,0,0,0,0,0,0,0,0,0,0,0.013,0.006,0,0.003,0.016,0.007,0.021,0.015,0.003,0.001,0.003,0.005,0,0.006,0.01,0.002,0.006,0.005,0.004,0.004,0.004,0,0,0,0,0.186,0.171,0.402,0.528,0.137,0.086,0.004,0,0,0.161,0,0.001,0,0.004,0,0,0
late guldenroede,0.085,0.007,0,0.001,0.001,0.003,0.001,0.002,0,0.002,0.004,0.001,0,0.002,0.007,0.001,0.016,0.002,0.003,0.004,0.019,0,0,0,0,0,0.002,0.001,0,0.001,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0.017,0.016,0.001,0.008,0.013,0.035,0.023,0.068,0.031,0.012,0.014,0.024,0.068,0.035,0.036,0.028,0.012,0.007,0.013,0.013,0.025,0.002,0,0,0,0.008,0.032,0.021,0.086,0.06,0.073,0.094,0.062,0,0.161,0,0.023,0,0.085,0.003,0,0
sneeuwbes,0.102,0.004,0,0.001,0.001,0.001,0,0.001,0,0.001,0.002,0,0.001,0.001,0.004,0,0.024,0.008,0.009,0.004,0.018,0,0,0,0,0.002,0.006,0.006,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.005,0.003,0.002,0.006,0.005,0.004,0.009,0.001,0.002,0.003,0.005,0.065,0.012,0.01,0.006,0.01,0.017,0.019,0.007,0.013,0.001,0,0,0.001,0.036,0.06,0.068,0.059,0.171,0.026,0.007,0,0,0.21,0,0.002,0,0.022,0.002,0,0
